Waf: Entering directory `/home/limemnghui/ns-allinone-3.27/ns-3.27/build'
[2322/2711] Compiling scratch/backup_1.cc
[2657/2711] Linking build/scratch/backup_1
Waf: Leaving directory `/home/limemnghui/ns-allinone-3.27/ns-3.27/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.882s)
0 2 15.0149
0 13 15.0149
0 14 15.0149
11 9 15.0173
11 12 15.0173
12 10 15.0175
12 11 15.0175
12 13 15.0175
12 14 15.0175
12 10 15.0176
12 11 15.0176
12 13 15.0176
12 14 15.0176
0 1 15.0176
0 2 15.0176
0 13 15.0176
0 14 15.0176
2 3 15.0185
2 0 15.0185
12 10 15.0193
12 11 15.0193
12 13 15.0193
12 14 15.0193
0 1 15.0203
0 2 15.0203
0 13 15.0203
0 14 15.0203
12 10 15.0223
12 11 15.0223
12 13 15.0223
12 14 15.0223
12 10 15.0225
12 11 15.0225
12 13 15.0225
12 14 15.0225
0 1 15.0235
0 2 15.0235
0 13 15.0235
0 14 15.0235
11 9 15.0239
11 12 15.0239
12 10 15.0246
12 11 15.0246
12 13 15.0246
12 14 15.0246
12 10 15.0265
12 11 15.0265
12 13 15.0265
12 14 15.0265
3 1 15.027
3 2 15.027
3 4 15.027
3 5 15.027
12 10 15.0301
12 11 15.0301
12 13 15.0301
12 14 15.0301
12 10 15.0324
12 11 15.0324
12 13 15.0324
12 14 15.0324
0 1 15.034
0 2 15.034
0 13 15.034
0 14 15.034
12 10 15.0394
12 11 15.0394
12 13 15.0394
12 14 15.0394
14 0 15.04
14 12 15.04
14 0 15.0402
14 12 15.0402
14 0 15.0421
14 12 15.0421
14 0 15.0437
14 12 15.0437
14 0 15.0457
14 12 15.0457
14 0 15.048
14 12 15.048
14 0 15.0532
14 12 15.0532
0 1 15.0558
0 2 15.0558
0 13 15.0558
0 14 15.0558
0 1 15.0576
0 2 15.0576
0 13 15.0576
0 14 15.0576
0 1 15.0593
0 2 15.0593
0 13 15.0593
0 14 15.0593
0 1 15.0613
0 2 15.0613
0 13 15.0613
0 14 15.0613
0 1 15.0636
0 2 15.0636
0 13 15.0636
0 14 15.0636
14 0 15.0636
14 12 15.0636
0 1 15.0687
0 2 15.0687
0 13 15.0687
0 14 15.0687
9 7 15.0704
9 8 15.0704
9 10 15.0704
9 11 15.0704
0 1 15.0791
0 2 15.0791
0 13 15.0791
0 14 15.0791
4 3 15.0799
4 6 15.0799
0 1 15.089
0 2 15.089
0 13 15.089
0 14 15.089
12 10 15.1291
12 11 15.1291
12 13 15.1291
12 14 15.1291
8 6 15.1573
8 9 15.1573
11 9 15.2057
11 12 15.2057
6 4 15.2337
6 5 15.2337
6 7 15.2337
6 8 15.2337
14 0 15.285
14 12 15.285
2 3 15.3021
2 0 15.3021
8 6 15.4461
8 9 15.4461
5 3 15.4616
5 6 15.4616
3 1 15.5888
3 2 15.5888
3 4 15.5888
